titles,category
 명품 싹쓸이  하던   돌변하자 세계  위     도  휘청 ,World
대만  동부 전략지역에 미사일기지 신설  우회 공격대비,World
바이든  이스라엘에 추가 군사지원  상황별 비상계획 수립,World
파손된 핀란드 에스토니아 해저 가스관  노르드스트림 이어  사보타주  무게,World
 중국 연간 신생아 수 당분간  천만명 선 유지될 듯 ,World
이스라엘  이집트 가자지구 유일 통행로에 재차 공습,World
가자지구 지상전 임박한듯 고속도로에 탱크 헬기 집결 이 팔 전쟁 ,World
돈줄 막히는 기업들 이 팔 전쟁  첨단기술 산업까지 위협  이 팔 전쟁 ,World
묶이면 전세계 경제  초토화    중동 최악의 시나리오   녹취록 ,World
이스라엘  금기  백린탄 쐈나  불바다 영상  확산  이 팔 전쟁 ,World
   세  최고령 스카이다이버  할머니  등극  일 만에 영면,World
우크라전 잊혀진 전쟁 될라 젤렌스키  연일 러시아 때리기,World
커지는 미중     격차  금세기에 미국 따라잡을 수 없을 것 ,World
국제유가   이 팔 전쟁 에 전날 급등 후 소폭 하락 브렌트유      달러,World
젤렌스키  러  우크라에 대한 지지 약화 위해 중동 분쟁 일으키려 해 ,World
 불바다 영상  확산 이스라엘  가자지구에 백린탄 쐈나,World
 무소속 출마  케네디   대선 변수로    시간 만에    억 모금 ,World
 속보  이스라엘의 가자지구 지상전 임박 탱크 헬기 집결,World
영국으로 번진  빈대주의보  런던 지하철 맨체스터 버스에 등장,World
 이스라엘  백린탄 사용  주장  불바다 영상  확산,World
 영영 하늘로 돌아갔다       세 할머니   최고령 스카이다이버  등극  일 만에 영면,World
 너무 늦은 나이란 없다       세 할머니  기네스 기록 세우고 영면  지금이뉴스 ,World
 이 팔 전쟁  우크라전 잊혀진 전쟁 될라 젤렌스키  연일 러시아 때리기,World
젤렌스키  곧 우크라 곡물 루마니아 몰도바 통해 수출 ,World
유럽 또 난방비 비상 타마르 가스전 폐쇄 여파  이 팔 전쟁 ,World
 여야  하원의장 후보 선출 논의 매카시  당 선택 받는 자에 투표 ,World
러  우크라 에너지 시설 공격 지난해보다  주 빨리 시작,World
호주 전 총리  대만 찾아   견제   자유 추구하는 대만 지지 ,World
  최신형 무기  이스라엘 도착  하마스 레바논에 대응,World
 속보      여명 사상자 난 아프간 북서부에 또 규모     강진,World
이스라엘  당근과 채찍  정책에서  하마스 전면 제거 로 전환,World
대만  중국  이 팔 전쟁 틈타  제 전선  만들려하지 말라 ,World
이 신발 신었더니  신기록 달성   기술 도핑 테스트 필요한 거 아냐  ,World
 뉴스라이브  이스라엘 하마스 무력충돌 격화   미국 이란 참전할까 ,World
하마스 침공 성공  우연 아니었다 역대 전투  열공  전략집단 진화,World
      상공 낙하  일 뒤  하늘로 올라간     살 스카이다이버,World
   맛집 비결    년 안 닦은 항아리   씨간장도 울고 갈  노포 봤더니,World
미 장기 국채 금리 상승에 힘 실리는 기준금리 동결 가능성,World
바이든    독립에 목숨 바친 폴란드 장군 소환한 까닭은 ,World
 중동특사  이 팔 분쟁 근본적 해결법은  두 국가 해법  ,World
이스라엘  레바논 국경 지역서도 교전     전면봉쇄 반대 ,World
중국서 진주가격 폭등 후쿠시마 핵오염수 방류 때문 ,World
  정부  이 팔 각각 수장과 전화 협의 조율 균형 외교 모색 ,World
아프가니스탄 북서부에 또 규모     강진,World
사우디  팔레스타인 편에 섰다  전선 확대,World
  집중 육성 신에너지차 등록 대수 올해  천만대 돌파 전망,World
      치솟던   국채금리   월 이후 최대폭 하락  이유는 ,World
 걔 마이크 주지 마    연예기획사 자니즈가 성착취 보도 막은  치밀한  방법,World
시상식 도우미는 왜 항상 여자일까,World
레바논 시리아서도 이스라엘 공격      중동 확전  대비 비상계획 수립,World
이스라엘 전선 확대되나 친이란 세력 움직임에    개입 마라  경고,World
이스라엘  지상전 준비 박차 예비군  만명 추가 소집,World
엔화  중동 지정학 리스크에  달러    엔대 중반 반등 출발,World
푸틴도 기시다도 움직이는데  시진핑  이 팔 전쟁  중재에 나설까 ,World
멀어지는 중국의   추월  금세기 중엔 어려워 ,World
러시아의 교묘한 이간질   우크라전서 노획한 서방무기 하마스에 제공 ,World
세계 각국 군용기 국적기로 이스라엘서 자국민 대피  이 팔 전쟁 ,World
이 팔 충돌 지속에  민주당서도  한국발 이란 자금 재동결하라 ,World
 북한  이스라엘 전쟁 이용 기회주의적 도발가능성  바이든 안보공약 시험대 ,World
  국방부  항공모함 제럴드 포드 호 동지중해 도착 ,World
이스라엘  레바논  로켓   발 중  발 요격 ,World
아르헨티나 또 국가부도  페소화 폭락  달러당  천 페소 돌파,World
대만 국경일에 차이잉원  중국에  평화는 유일한 선택지   대만은 지금 ,World
세계 각국 군용기 국적기 투입해 이스라엘 자국민 대피,World
이스라엘  시리아에서도 포탄 날아왔다 원점 대응 포격 ,World
일본인   명 중  명 이상  중국에 좋지 않은 인상 있다 ,World
  핵항모  이스라엘에  척 더 온다    인질 구조 특수부대도 파견,World
   년 안 씻은 항아리가 맛의 비법   유명식당 논란,World
 이 팔 전쟁  세계 각국  군용기 국적기 투입해 자국민 대피,World
하마스 전쟁자금 어디서  암호화폐로 수백만달러 모금,World
국제유가  중동 긴장 고조에도 하락              ,World
율동 한 번에   년치 월급 벌었다  교사 화제에  청년들  라방할래 ,World
세상에 딱    장     억원에 팔릴 거라는 이 우표  뭐길래,World
 공습 경보 울려 대피중 다시 연락합시다   이스라엘 현장통신 ,World
 미스 포르투갈  사상 첫 트랜스젠더 우승자 나왔다  내달  미스 유니버스  출전,World
 무소속 돌풍   케네디  시간만    억 모금  바이든 트럼프 대선판 요동치나,World
미    세 할머니   최고령 스카이다이버  등극  일 만에 영면,World
시리아서 첫 포격 이스라엘  대응 포격  이 팔 전쟁 ,World
미 케네디 변수 부상  무소속 출마  시간 만에    억 모금  돌풍 ,World
  시카고서 하룻밤 사이 철새     마리 떼죽음  왜 ,World
 하마스 완전한 악  바이든 군사 지원 준비 사망자     명 넘어 종합 ,World
이스라엘  시리아서 포탄 날아와 대응 포격 ,World
 하원  임시 의장이 이스라엘 지원안 의결하나 이 팔전쟁 ,World
 북   중  기회주의적 도발 가능성 바이든 안보 공약 시험대 ,World
 지원 무기 실은 첫 미국 비행기 이스라엘 군부대 도착,World
이스라엘  시리아 포격에 맞대응 커지는 확전 우려,World
 케네디 변수 부상  무소속 출마  시간만    억원 모금  돌풍 ,World
바이든  완전한 악 하마스     만행 떠올라     이스라엘에 무기 추가 투입,World
하룻밤 사이 철새  천 마리 집단 폐사  그 이유는 ,World
북한   연합훈련 중단 유엔사 해체  주장 한국과 유엔 회의서 충돌,World
바이든  밴드 불러 바비큐 파티 구설    중동 확전 대비해 비상계획 ,World
스페인  자국민 송환에 군용기 파견  도 특별 항공편 이 팔 전쟁 ,World
바이든  필요시 이스라엘에 추가 군사자산 투입 준비돼 있다  종합 ,World
정상화 압박 크지만       공화 하원의장 후보 선정 난항,World
   블링컨 이스라엘에 급파 시나리오별 비상대응책 수립 착수 종합 ,World
중동 전쟁 확전되나  시리아 레바논도 이스라엘 겨냥 포격,World
빈 살만  팔레스타인 지지  이스라엘과 국교 논의 중단 전망,World
 미군  하마스에 잡힌 인질 구출 위해 이스라엘에 전문가 파견 ,World
보렐    외교위원장   이스라엘 보복 국제법에 위배  이 팔 전쟁 ,World
바이든  하마스의 공격은  학살 행위      자산 추가투입 준비됐다 ,World
이스라엘 지상전 준비   양측 사망자     명 넘겨,World
 최고령 스카이다이버       세 할머니  세계 신기록  일 만에 영면,World
     하마스 암호화폐로 전비 수천억원 조달 ,World
바이든  하마스 공격은  악    이스라엘에 군사 지원 준비 ,World
에르도안 푸틴  이 팔 전쟁 현황에 관해 전화 회담,World
   하마스의 이스라엘 공격에도  균형외교    미국과는 다른 길  왜 ,World
전세계 곳곳서 전쟁 하마스 공격  새 국제질서 신호 딥포커스 ,World
 깊은 맛 위해  소스 항아리   년간 안 씻은   유명 식당,World
두 개의 전쟁  세계경제 둘로 쪼갠다 뒷북 글로벌 ,World
 하원 임시의장  행동해야 한다면  이스라엘 지원안 의결하나,World
 영상  압도적 군사력 이스라엘  하마스 소탕 가로막는 장애물  가지,World
미국산 탄약 이스라엘에 도착  슈퍼 핵 항모 도 동지중해에,World
   중동 확전  대비 비상계획 수립 돌입  동맹 파트너국들과 협의 중   이 팔 전쟁 ,World
이 팔전쟁 덕분에 안도   한   증시 국채 금리  뚝  연준  금리 동결     증시에 호재될까   투자    ,World
 이스라엘 대응 의무 있다  바이든  하마스 섬멸에 힘실어 확전 초읽기 이 팔 전쟁 ,World
바이든  속 뒤집힌다  하마스 규탄 이스라엘    탄약 첫 도착 ,World
 국무    일 이스라엘 방문  추가 지원 논의 예정  이 팔 전쟁 ,World
중국 비구이위안  채무 못 갚아  디폴트 현실화되나 ,World
 속보  이스라엘 내 한국 국민 중    명 인천국제공항 도착,World
예루살렘 교민들  어제도 공습사이렌 두번 외출 못하고 뉴스만 ,World
미증시 이틀 연속 랠리  중동전쟁 미증시에는 오히려 호재 ,World
이 신발 신으면 신기록  신발 도핑  ,World
국가원수급 경호  황금박쥐상이 뭐길래,World
      등 전세계 동시대응 가능 중동 확전 대비해 비상계획 ,World
   세   할머니  최고령 스카이다이버  등극  일만에 영면  열정적이었던 분 ,World
뉴욕증시  지정학적 리스크 속 국채금리 하락에 상승 다우      ,World
잠시 후 이스라엘서    명 태운 항공기 인천 도착,World
폭락하는 아르헨티나 통화 암시장서 달러당  천 페소 돌파,World
핀란드 에스토니아 잇는 가스관 통신케이블 파손  외부 활동 때문 ,World
젤렌스키  이 팔 사태로 우크라에 대한 관심 분산 러에 이득 ,World
뉴욕증시  이 팔 전쟁 여파에도 국채금리 하락에 상승 마감,World
 이스라엘 추가 지원  약속한      개 전선 에 발 담그나 ,World
이번엔 레바논 국경서 포격전     가자 전면봉쇄 반대 ,World
이스라엘 하마스 전쟁   세계 대전  우려 나오는 이유는 ,World
레바논서 이스라엘로 로켓   발 발사 이스라엘  대응 요격 ,World
테슬라       루시드       리비안       전기차 일제 랠리 종합 ,World
미국  인질 구출 위해 전문가 파견 검토 ,World
   중동 확전 대비해 비상계획    등 전세계 동시대응 가능 ,World
핀란드 에스토니아 해저가스관 파손   고의훼손  됐다 ,World
하마스보다 강력한 헤즈볼라 결국 개입하나 레바논 접경서 교전 확대,World
   장사정 미사일도 조기 배치 검토,World
중동 외교 실패 유가 급등 지지율 바닥   재선 도전  바이든  카터 전철 밟나,World
   세계 최초 아스팔트 수소 연계 프로젝트 추가지원 미개척  원전수소 분야 개척,World
전해조 기술 풍부한 풍력자원  그린수소의 꿈  준비하는  ,World
 영국 수소 전략 르포    천연가스 대신할   수소에너지의  대 강점,World
헝다에 이어 비구이위안도 디폴트 위기   부동산 수난시대  뒷북 글로벌 ,World
 최고령 스카이다이버      세 할머니  기록 일주일 만에 사망,World
  국무장관  이번주 이스라엘 간다,World
케네디   대선 무소속 출마 선언  바이든 트럼프 구도에 변수 ,World
 국무    일 이스라엘 방문     현시점에서 군사작전 계획 없어   이 팔 전쟁 ,World
우여곡절 끝 개최     금  마이클 잭슨 첫 내한공연 뉴스속오늘 ,World
중동전쟁으로 금리인상 중단 기대  미증시 일제 상승 상보 ,World
 에콰도르 대선       최연소    첫 여성  임기는  년여 불과,World
미국    세 할머니   최고령 스카이다이버  등극  일 만에 영면,World
젤렌스키  이 팔 전쟁으로 우크라에 대한 관심 분산될 위험 있어 ,World
이스라엘  레바논  로켓   발 중  발 요격 시리아  다수 포탄 발사  종합 보  이 팔 전쟁 ,World
성장률 내리고 물가 올리고  전 세계에  스태그  경고등,World
이스라엘군 가자지구 진입 임박 헤즈볼라 이란 개입하나,World
 진화 거듭하는 일본 고향납세  연간 모금액   조원 시대 눈앞 유연한 발상으로 판 키웠다,World
 앞서가는 한국과 함께할 것  첫    국가정상회의 이끄는  고문,World
 이스라엘도  팔레스타인도 모두 친구  중재자 자처하는 중국,World
 뉴욕유가  지정학적 불안 속 소폭 하락,World
바이든  하마스 공격으로 미국인   명 사망  순수 악     만행 떠올라  ,World
핀란드 에스토니아 해저가스관 파손  고의 훼손  가능성 무게 종합 ,World
바이든  이스라엘 전적 지지 군사자산 추가 투입 준비 ,World
존   케네디 조카  무소속으로 대선 출마 ,World
 전웅빈 특파원의 여기는 워싱턴  몰려드는 불법 이민자들  코너에 몰리는 바이든,World
비구이위안  디폴트 언급   모든 역외채무 못 갚아 ,World
    이스라엘 국제법 지켜야  가자지구 봉쇄 반대,World
  외무장관  오만 긴급회의  팔  재정 지원 중단    결정 번복 이 팔 전쟁 ,World
한국 해군 순항전단  볼티모어 입항  당신의 헌신을 잊지 않을 것  환영식,World
 말로  안좋은 노벨평화상 징크스  이 팔 평화협정   년만에 파국,World
 중공군에 포위됐다 생존  다신 한국 안 온다 했었죠 ,World
물밀 듯 밀려오는 이민자에   진보 도시  뉴욕 시카고도 분열,World
케네디  무소속 출마  제 후보 현실화    대선판도 변수로,World
 의원단과  마주 앉은  시진핑  양국 관계 망칠 이유 없다 ,World
아르헨 대선  위 후보  페소는 쓰레기   외환시장 패닉,World
매카시  당이 원하면 복귀    하원의장 재출마 가능성,World
지상군 파병엔 선 긋는   중동  확전 차단 안간힘,World
나토 빅   이스라엘 지지  밝혔지만    무기지원    는 관망,World
     내년 세계성장률         성장률도          하향,World
 의원들  시진핑 만나  불공정한 경쟁이 문제  직격탄,World
 재선 도전  바이든   중동 우크라 중국   대 외교정책 모두 시험대,World
   명 귀국길  가자지구에도 교민 가족 ,World
 생성형    기술  높은 비용 등으로 내년  찬바람  맞을 것 ,World
레바논 남부서 이스라엘에 로켓   발 발사  발 요격,World
과테말라 정권교체  험난  당선인 지지자  검찰수사에 항의시위,World
핀란드  에스토니아 연결 해저가스관   외부 활동 으로 손상 ,World
   모든 당사자 자제 촉구  하마스 때리는  와 온도차 왜 ,World
일본인      중국에 대한 인식 안 좋다  응답,World
독 프  원전 보조금 둘러싼 이견 해소 주력 ,World
레바논서 이스라엘에 로켓   발 발사 이스라엘   발 요격 ,World
 이 팔 전쟁        기회주의적 도발가능성 바이든 안보공약 시험대 ,World
적 거점 공격  토마호크  이어   자국산 장사정 미사일도 조기배치 검토,World
숄츠 마크롱  원전 보조금 둘러싼 이견 해소 주력 ,World
면세점     창립자 찰스 피니    조원대 자산 기부하고 타계,World
   대선에 인도계 두 명 출마했지만 인도계의 지지는 저조 ,World
푸틴  이 팔 전쟁  미국 중동 정책의 실패 보여줘   민간인 피해 최소화해야 ,World
아프간 강진  대책 없는  탈레반 주민들  맨손  구조,World
트럼프  연일 바이든 공세  테러리스트 수만 명 입국 허용 ,World
뉴욕증시 상승 출발 이 팔 전쟁에도 국채금리 하락에 안도 랠리,World
 백악관   하마스 배후설  이란 자금 재동결 요구에  언제든 가능  종합 ,World
이란에 연일 경고하는    자금 다시 동결할 수 있어 ,World
핀란드 에스토니아 해저가스관 파손  외부활동 결과물 가능성 ,World
 올댓차이나   디폴트  자자오예  청산시 채권 회수율    미만 경고,World
독일  극우 성향  정당의 약진 배경엔  반난민  정서,World
 율동 으로   년치 월급 번 이 미모의 여성처럼    억명 중국인  라방  뛴다,World
중국 비구이위안  채무 못갚아  디폴트 현실화되나 ,World
이스라엘군  가자지구  공습 하마스 고위직  명 사망,World
엎친 데 덮친    미국에 이어 캐나다에서도 노동자 파업,World
서방  개국  하마스 테러 규탄  유럽연합  지원 중단,World
 살 아이부터 노인 인질까지        쏟아진 하마스 납치 영상,World
러  이 팔 화해 중재 모색  전쟁 부추긴다  젤렌스키 주장 일축 이 팔 전쟁 ,World
미국   하마스 배후설  이란 자금 재동결  언제든 가능 ,World
이란에 돌려준   억  재동결     언제든 가능 ,World
 돌풍  아르헨 대선후보    달러화로 통화 바꿀 것  요동치는 환율,World
 중국에 대한 인상 안 좋다  일본인    가 답했다,World
일본인      중국 싫어   중국인     일본 싫어 ,World
      전기차 이어 철강도 반보조금 조사    대중압박 동참,World
  압도한 특허 출원 이젠  양보다 질 ,World
    하마스 배후  이란 자금 재동결 요구에  언제든 가능 ,World
가자 봉쇄한 이스라엘 유엔  국제법 위반 ,World
  자주포 등   방산  북미시장 공략,World
유엔  이스라엘  가자지구 전면 봉쇄는 국제법 위반 ,World
 돈줄  막히는 팔레스타인   자국민 보호 비상,World
지상군 투입 초읽기      지상군 파병 없다 ,World
후임 하원의장 선출 난항  해임  매카시 재등판하나,World
중동 등 세계 곳곳서 분쟁  팍스 아메리카나 의 종말 ,World
 토마호크 조기 배치  일본  장사정 미사일도 앞당겨 배치 검토,World
러 부장관   미국이 먼저 핵실험 재개할 때만 우리도 해 ,World
이스라엘  가자지구 대규모 보복 공습하며 지상군 투입 시기 저울,World
    강경파  슈머 환대      정상회담 성사 가능성 커지나,World
존   케네디 조카  민주당 나와  무소속  출마 선언     대선 변수로,World
일본  토마호크 이어 자국산 장사정 미사일도 조기 배치 검토 종합 ,World
 하버드 학생 모임 연판장 팔레스타인 옹호 선배들  뭐가 잘못됐길래  ,World
      이 팔 전쟁으로 세계경제  새 불확실성 직면  이 팔 전쟁 ,World
러 하원       비준철회   일 결론 외무차관  철회할 수밖에  종합 ,World
이란  우린  하마스 배후  아냐     이란 자금 재동결 가능 ,World
지상군 투입 초읽기      지상군 파병 없다 ,World
중동 위기 속   사우디 합동해군훈련 시작,World
유엔  가자지구 전면봉쇄  국제법 위반 포위공격은 금지 사항 ,World
 국민  명 중  명  국가 재정 상황에 불안감 ,World
러시아  오늘 유엔 인권이사회 복귀 시도 성사 예상,World
미  이스라엘에 대규모 무기 지원 시작  지상군 파병 엔 선 긋기,World
하마스 최종 노림수는     확전 변수는 이란 헤즈볼라 ,World
 미국과 관계 개선할 이유     가지 있다  화해 손길 내민 시진핑,World
이란 최고 지도자  하마스 배후 아니다 ,World
 영향력 약화 상징하는 사건  외교 시험대 오른 미국,World
 신의 도움으로  하마스 수장 육성 공개 이스라엘  암살 작전 돌입,World
   분새 대피소  차례나  교민들 불안 관광객은 탈출 행렬,World
재선 도전 나선 바이든   대통령   카터의 전철  밟나,World
     이스라엘의 가자지구 전면 봉쇄로 참사 우려 ,World
우주정거장 또  냉각수 누출   러시아 우주기술 신뢰 떨어져 ,World
이스라엘 팔레스타인 사망자     명 넘어 공습 지속 종합 ,World
사망자  천 백명 넘어 이스라엘 하마스  지상전  임박,World
 씬속뉴스  세계 최대 핵 추진 항모 미  제럴드 포드함 부터         이스라엘행,World
네타냐후  협상 없다  이  지상군 투입 임박,World
중동 영향력 넓혀온   이 팔 전쟁에  중동 외교 시험대,World
이스라엘 네타냐후  지상군 가자지구 진입 불가피 ,World
 이슬람 큰형님  빈 살만  팔레스타인 편에 선다    중동 해빙 물 건너간다,World
 이 팔 전쟁 현장   이제 살았다  발 묶였던   관광객 텔아비브 공항서 귀국길,World
 깊이보기   이스라엘 지원  제럴드 포드 항모    부산입항 레이건 항모  뭐가 다를까 ,World
 자막뉴스   보복 공격 준비    이스라엘 전면전 불사에    난처 ,World
이스라엘군  북부 골란고원과 갈릴리 공중침투 의심 보고 수색 중 ,World
확전 최대 변수는  이란 헤즈볼라 참전 ,World
 아직은 국지전일 뿐  증시  학습효과 로 중동 리스크 뚫어,World
이스라엘 단기체류 우리 국민    명 항공편 육로로 빠져 나와,World
      전기차 이어 철강기업도 반보조금 조사,World
 기업이 변해야 한국 저출산 해결  노벨경제학상 수상자의 충고,World
 육아는 여성 몫이라는 기성세대 편견이   저출산 원인 ,World
 영상  하마스 고위직  병력   만 공격 동원 이스라엘군 종이호랑이 ,World
이스라엘  협상은 없다     하마스  공습 땐 인질살해   이스라엘 하마스 전쟁 ,World
총 든  낙하산 떼    모사드도 몰랐던 공격 방법   녹취록 ,World
아르헨 지지율  위 대선후보  페소  배설물만 못해 ,World
성장률 내리고  물가 상승률 올린      내년 전 세계  스태그플레이션  경고등,World
북극해서 온실효과 이산화탄소   배  메탄가스  방출구 발견,World
     내년 세계 경제성장률      중 부동산 위기로       하향,World
예비군 동원령에   인력 부족  스타트업 성지  이스라엘 흔들리나,World
     내년 세계 경제성장률      중국 부동산 위기로       하향,World
하마스  북한제 무기 소지 정황          고폭 파편로켓 영상 ,World
이스라엘 편들지 않고 미국과 차별화   기시다  중동 균형 외교   왜 ,World
   년치 월급 벌더니  바로 사표  너도나도  라방  켜는  ,World
이 팔 사태로 사망자     명 달해,World
치솟는 유가       갈수도  곡물 원자재값도 불안,World
 러  우크라전서 노획한 서방무기 하마스에 지원  우크라 정보당국,World
푸틴  우크라 전쟁 승리하면  미 러 전쟁 확률 높아져,World
케네디  무소속 출마   대선 제 지대 뜬다,World
 이상한 일이 일어나고 있다      곳곳서  기현상   지금이뉴스 ,World
  에  걷는 로봇 만들어  명령하자 몇 초 만에  뚝딱 ,World
중동 화약고 불붙자 에너지     후끈,World
네타냐후  협상 없다  하마스  인질 처형   전면전 치닫나,World
조규성       자랑스럽다 군대는 가보면 좋았을 텐데 ,World
차이잉원  현상유지 핵심으로  과 공존하는 법 모색 ,World
이  가자지구 진입 불가피  하마스  인질 한명씩 처형 ,World
 최강 방공  아이언돔이 하마스 미사일 못 막은 진짜 이유  핫이슈 ,World
 한국 저출산 원인은     노벨 경제학상 수상자의 분석  지금이뉴스 ,World
 대만서 개발한   가  대만은 중국 땅    매체 보도,World
 줌인  둘로 늘어난 전선  시험대 오른 바이든 외교정책,World
방러  의원  결국 소속 일본유신회서 제명 처분 받아,World
    하마스   년 이상 공격 준비 이란이 무기   훈련 지원 ,World
국정원  선관위  해킹에 매우 취약 득표수도 조작 가능 ,World
에르도안  팔레스타인 독립 인정해야   두 국가 해법  지지 ,World
노벨상도 진화한다 올해만 여성  명 수상  금가는 유리천장,World
 뉴스   가자지구 주변 이스라엘 탱크 집결  지상작전 나서나,World
 이 팔 전쟁  팔레스타인 패싱하다 바이든표 중동평화안  존망 갈림길 ,World
 하마스   년 이상 준비 이란이 무기   훈련 지원 ,World
일본이 이스라엘도 비판   이 팔 전쟁 에 엇갈린 각국 속내,World
   지상군 파병 없다    충돌 확대 꺼려,World
     내년   성장률 전망           하향  내년 세계경제 더 어렵다 ,World
   년 외교전문가  바이든의 위기    중국 견제  올인하다 중동 우크라 다 꼬였다,World
우크라 에 이 팔 전쟁까지  글로벌 경제  탈출구가 안 보인다,World
일본 곳곳서 지진 없는 쓰나미    정확한 원인 알 수 없어 ,World
     내년 세계 경제성장률       부동산 위기로       하향,World
  홍콩 증시  중동 무력충돌에도 연준  비둘기 발언 에 상승,World
이스라엘 가자 봉쇄해    여곳 밤새 공격 병력 투입 임박 종합 보 ,World
 헤즈볼라까지 뛰어들면     최대변수 는 이란  앵커리포트 ,World
  번지이슈   차 중동전쟁 위기  가자진입 불가피      인질 처형 ,World
 영상  확전 일촉즉발 위기 최대 변수 이란 헤즈볼라,World
   후원하다 퇴직금 날리는  노인들 취업난에 인터넷방송하는 청년들,World
 토마호크 도입 앞당긴    자국산 장사정 미사일도 조기 배치 검토,World
 뭇매 맞는 모사드    하마스가  년이상 기습 준비했어도 인지 못해,World
조명하 의사   주기 추모식 타이베이 순국지서 열려,World
  전기차 스타트업   모터스 파산신청 부동산 이어 전기차도 ,World
이스라엘  지상군 투입   하마스  인질 처형  예고 갈등 점입가경,World
 복무 거부  예비역들 복귀 다시 뭉치는 이스라엘,World
  만 예비군 탱크 집결   가자지구 인근서 포착된 장면   녹취록 ,World
중국 권위주의 달라졌다  더 교묘하게  항저우    ,World
 비행기 이미 이륙    미국  이스라엘에 무기 지원 가속화,World
 뉴스큐  이스라엘 하마스 무력충돌   우리 경제 영향은 ,World
